### Present Simple
I ___ (work) as a software engineer for a large tech company | work | Базовая форма для I
We ___ (save) to send our children to university | are saving | Долгосрочная временная цель
He ___ (recover) his strength after a long illness | is recovering | Временное состояние
I ___ (think) about starting a community garden | am thinking | Временное рассмотрение идеи
She ___ (experiment) with vegan cooking | is experimenting | Временное кулинарное увлечение
They ___ (install) a new irrigation system in the fields | are installing | Действие в процессе
He ___ (commute) by bicycle to reduce his environmental impact | is commuting | Временная привычка
We ___ (organize) a protest against the new law | are organizing | Временный план действия
I ___ (try) to master the art of public speaking | am trying | Временное стремление
She ___ (attend) a yoga class to relieve stress | is attending | Временная деятельность для благополучия
They ___ (renovate) the historic building to preserve it for future generations | are renovating | Длительный временный проект
He ___ (study) the impact of social media on mental health | is studying | Текущее исследование
The team ___ (work) on a breakthrough in renewable energy technology | is working | Действие в процессе
I ___ (look) forward to my vacation in the mountains | am looking | Выражение anticipation (всегда Continuous)
She ___ (participate) in a marathon to raise money for charity | is participating | Временное благотворительное мероприятие
They ___ (develop) a new language learning app | are developing | Текущий проект
We ___ (wait) for the storm to pass before going outside | are waiting | Действие в процессе
He ___ (prepare) a special meal for our anniversary | is preparing | Действие происходит сейчас

### Past Continuous
I ___ (sleep) soundly when the earthquake suddenly woke me up | was sleeping | Длительное действие, прерванное другим
They ___ (watch) a movie when the power went out | were watching | were + глагол+ing
She ___ (cook) dinner while the children were doing their homework | was cooking | Два параллельных действия в прошлом
We ___ (play) football in the park when it started to rain heavily | were playing | Длительное действие в прошлом
He ___ (read) a book in the library all afternoon yesterday | was reading | was + глагол+ing
The birds ___ (sing) beautifully as the sun was rising | were singing | were + глагол+ing
I ___ (wait) for the bus for over half an hour before it finally arrived | was waiting | Длительное действие в прошлом
It ___ (rain) continuously throughout the night | was raining | Длительное действие в прошлом
They ___ (travel) through Asia during the summer of 2010 | were traveling | Длительный процесс в прошлом
She ___ (study) in her room when she heard a loud noise outside | was studying | Действие в процессе было прервано
I ___ (work) on my computer when the screen suddenly went black | was working | was + глагол+ing
They ___ (have) a heated argument when I walked into the room | were having | were + глагол+ing
She ___ (drive) to work when she witnessed a car accident | was driving | Действие в процессе в прошлом
We ___ (walk) along the beach when we found a message in a bottle | were walking | Длительное действие, во время которого что-то произошло
He ___ (talk) on the phone while he was cooking | was talking | Два параллельных действия
The students ___ (take) an exam when the fire alarm rang | were taking | Действие в процессе было прервано
I ___ (try) to fix the leaky faucet when I accidentally flooded the kitchen | was trying | was + глагол+ing
They ___ (build) the new bridge for over a year before it was completed | were building | Длительное действие в прошлом
She ___ (paint) a portrait of her grandmother all day yesterday | was painting | was + глагол+ing
We ___ (plan) our wedding when we received the surprising news | were planning | Длительное действие в прошлом
He ___ (exercise) at the gym when he pulled a muscle | was exercising | Действие в процессе было прервано
The company ___ (develop) a new product line during that period | was developing | Длительный процесс в прошлом
I ___ (listen) to the radio while I was cleaning the house | was listening | Два параллельных действия
They ___ (celebrate) their victory when the authorities arrived | were celebrating | Действие в процессе было прервано
She ___ (teach) English in Japan for three years before she moved back | was teaching | Длительное действие в прошлом
We ___ (look) for a new apartment for months before we found this one | were looking | Длительный процесс в прошлом
He ___ (write) his first novel when he was living in Paris | was writing | Длительное действие в прошлом
The scientists ___ (conduct) research on climate change throughout the decade | were conducting | Длительный процесс в прошлом
I ___ (shop) for groceries when I ran into an old friend from college | was shopping | Действие в процессе, во время которого произошла встреча
They ___ (repair) the road, which caused a major traffic jam | were repairing | Длительное действие, являющееся причиной
She ___ (prepare) for her presentation all morning yesterday | was preparing | Действие в процессе в определенный период прошлого
We ___ (discuss) the budget when the CEO entered the room | were discussing | Действие в процессе было прервано
He ___ (train) for the marathon every day before his injury | was training | Длительная привычка в прошлом
The children ___ (build) a sandcastle on the beach when the tide came in | were building | Действие в процессе было прервано событием
I ___ (think) about changing my job when I received a promotion offer | was thinking | Длительное размышление в прошлом
They ___ (wait) for the results with great anxiety | were waiting | Длительное состояние в прошлом
She ___ (experiment) with different chemical compounds in the lab | was experimenting | Длительный процесс в прошлом
We ___ (climb) the mountain when the weather suddenly changed | were climbing | Действие в процессе было прервано
He ___ (compose) a symphony during his stay in Vienna | was composing | Длительное творческое действие в прошлом
The team ___ (practice) for the championship game when the coach fell ill | were practicing | Действие в процессе было прервано
I ___ (read) a fascinating article about black holes when you called | was reading | Длительное действие, прерванное звонком
They ___ (debate) the issue for hours without reaching a conclusion | were debating | Длительное действие в прошлом
She ___ (design) the website for the new company | was designing | Длительный процесс в прошлом
We ___ (explore) the ancient ruins when we discovered a hidden chamber | were exploring | Длительное действие, во время которого что-то произошло
He ___ (investigate) the case for several months before he found a clue | was investigating | Длительный процесс в прошлом
The government ___ (implement) new policies to stimulate the economy | was implementing | Длительный процесс в прошлом
I ___ (learn) to play the piano when I was a child | was learning | Длительный процесс в прошлом (в детстве)
They ___ (manage) the project successfully until the funding was cut | were managing | Длительное действие в прошлом, которое закончилось
She ___ (negotiate) a contract with the new supplier at that time | was negotiating | Действие в процессе в определенный период прошлого
We ___ (observe) the behavior of the animals in their natural habitat | were observing | Длительный процесс в прошлом
He ___ (organize) his files when he came across an old photograph | was organizing | Действие в процессе, во время которого что-то произошло
The artist ___ (paint) a mural on the wall of the community center | was painting | Длительное действие в прошлом
I ___ (prepare) for my trip to South America last month | was preparing | Длительная подготовка в прошлом
They ___ (question) the witness when new evidence emerged | were questioning | Действие в процессе было прервано событием
She ___ (rehearse) for the play every evening last week | was rehearsing | Длительная повторяющаяся деятельность в прошлом
We ___ (research) the history of the town for our book | were researching | Длительный процесс в прошлом
He ___ (restore) an old vintage car in his garage | was restoring | Длительный проект в прошлом
The students ___ (review) for the final exam all night | were reviewing | Длительное действие в прошлом
I ___ (run) in the park when I twisted my ankle | was running | Действие в процессе было прервано травмой
They ___ (save) money to buy a house for years | were saving | Длительный процесс в прошлом
She ___ (search) for her lost keys for hours | was searching | Длительное действие в прошлом
We ___ (serve) customers when the computer system crashed | were serving | Действие в процессе было прервано
He ___ (study) the map carefully before starting the journey | was studying | Длительное действие перед другим действием в прошлом
The teacher ___ (explain) a difficult concept when the bell rang | was explaining | Действие в процессе было прервано
I ___ (train) my dog to do new tricks last summer | was training | Длительный процесс в прошлом
They ___ (translate) the ancient manuscript into modern English | were translating | Длительный проект в прошлом
She ___ (travel) around the world on a sailboat | was traveling | Длительное действие в прошлом
We ___ (try) to solve the puzzle for a long time | were trying | Длительное усилие в прошлом
He ___ (type) the report when the electricity went off | was typing | Действие в процессе было прервано
The volunteers ___ (build) houses for the homeless community | were building | Длительный процесс в прошлом
I ___ (watch) the sunset when a strange object appeared in the sky | was watching | Длительное действие, во время которого произошло событие
They ___ (work) on the construction site from dawn till dusk | were working | Длительное действие в прошлом
She ___ (write) her memoirs during her retirement | was writing | Длительный творческий процесс в прошлом
We ___ (cycle) through the countryside when we got a flat tire | were cycling | Действие в процессе было прервано событием
He ___ (deliver) a speech when someone in the audience shouted | was delivering | Действие в процессе было прервано
The company ___ (expand) its operations into new markets | was expanding | Длительный процесс в прошлом
I ___ (follow) the instructions carefully when I made a mistake | was following | Действие в процессе, во время которого произошла ошибка
They ___ (gather) information for their research project | were gathering | Длительный процесс в прошлом
She ___ (improve) her language skills by talking to native speakers | was improving | Длительный процесс в прошлом
We ___ (install) the new software on all the computers | were installing | Длительный процесс в прошлом
He ___ (lead) the expedition through the jungle | was leading | Длительное действие в прошлом
The mechanic ___ (repair) the engine when he found the problem | was repairing | Действие в процессе, во время которого что-то обнаружилось
I ___ (jog) in the forest when I saw a deer | was jogging | Длительное действие, во время которого произошло наблюдение
They ___ (knot) the ropes together to make a longer one | were knotting | Длительное действие в прошлом
She ___ (listen) to classical music while she was working | was listening | Два параллельных действия в прошлом
We ___ (manufacture) the parts in our factory overseas | were manufacturing | Длительный процесс в прошлом
He ___ (navigate) the ship through the stormy waters | was navigating | Длительное действие в прошлом
The orchestra ___ (perform) Beethoven's 5th Symphony | was performing | Длительное действие в прошлом
I ___ (pack) my suitcase for the trip when I remembered my passport | was packing | Действие в процессе, во время которого что-то вспомнилось
They ___ (quarrel) about money when I left the room | were quarrelling | Действие в процессе в определенный момент прошлого
She ___ (race) towards the finish line when she stumbled | was racing | Действие в процессе было прервано
We ___ (sail) across the Atlantic Ocean on a small yacht | were sailing | Длительное действие в прошлом
He ___ (teach) himself how to play the guitar from online videos | was teaching | Длительный процесс в прошлом
The children ___ (build) a fort out of blankets and chairs | were building | Длительное действие в прошлом
I ___ (upload) the files to the server when the connection failed | was uploading | Действие в процессе было прервано
They ___ (visit) their relatives in the countryside last weekend | were visiting | Длительное действие в прошлом
She ___ (weave) a traditional carpet using ancient techniques | was weaving | Длительный процесс в прошлом
We ___ (x-ray) the patient's chest to check for pneumonia | were x-raying | Длительное действие в прошлом
He ___ (yell) for help when the rescuers arrived | was yelling | Действие в процессе в момент прибытия помощи
The chef ___ (zest) a lemon for the dessert recipe | was zesting | Действие в процессе в прошлом
I ___ (aim) for the target when the wind changed direction | was aiming | Действие в процессе было прервано событием
They ___ (bake) bread for the community festival | were baking | Длительный процесс в прошлом
She ___ (carry) the heavy boxes up the stairs when she hurt her back | was carrying | Действие в процессе было прервано травмой
We ___ (dance) at the wedding when the music suddenly stopped | were dancing | Действие в процессе было прервано
He ___ (edit) the video for his YouTube channel | was editing | Длительный процесс в прошлом
The farmers ___ (harvest) the wheat before the storm hit | were harvesting | Длительное действие, произошедшее до другого события
I ___ (interview) the candidate for the job position | was interviewing | Длительное действие в прошлом
They ___ (juggle) multiple projects at the same time | were juggling | Длительная ситуация в прошлом
She ___ (knit) a sweater for her newborn nephew | was knitting | Длительный процесс в прошлом
We ___ (launch) the new product with a big marketing campaign | were launching | Длительный процесс в прошлом
He ___ (mediate) the dispute between the two parties | was mediating | Длительное действие в прошлом
The pilots ___ (navigate) through the heavy fog | were navigating | Длительное действие в прошлом
I ___ (operate) the machinery when the safety alarm sounded | was operating | Действие в процессе было прервано
They ___ (program) the new application for mobile devices | were programming | Длительный процесс в прошлом
She ___ (qualify) for the finals by winning all her matches | was qualifying | Длительный процесс в прошлом
We ___ (record) the album in a studio in Nashville | were recording | Длительный творческий процесс в прошлом
He ___ (scan) the old photographs into the computer | was scanning | Длительный процесс в прошлом
The team ___ (test) the new software for bugs | were testing | Длительный процесс в прошлом
I ___ (unpack) my belongings after moving into the new apartment | was unpacking | Длительное действие в прошлом
They ___ (volunteer) at the local food bank every weekend | were volunteering | Длительная повторяющаяся деятельность в прошлом
She ___ (wander) through the streets of the old city | was wandering | Длительное действие в прошлом
We ___ (zoom) in on the image to see the details more clearly | were zooming | Длительное действие в прошлом

### Present Perfect
I ___ (finish) all the tasks assigned for this week | have finished | have + причастие прошедшего времени
She ___ (visit) over twenty countries in her lifetime | has visited | has + причастие (для he/she/it)
They ___ (see) that movie at least three times already | have seen | have + seen (неправильный глагол)
He ___ (live) in this neighborhood since he was a child | has lived | Действие началось в прошлом и продолжается
We ___ (know) each other since we were in kindergarten | have known | have + known (неправильный глагол)
I ___ never (be) to Australia, but I'd love to go | have never been | Опыт (никогда не был)
She ___ just (arrive) from the airport | has just arrived | Действие только что завершилось
They ___ already (eat) dinner, so they're not hungry | have already eaten | Действие завершено к настоящему моменту
He ___ (lose) his wallet and can't find it anywhere | has lost | Результат важен сейчас (кошелек потерян)
I ___ (work) at this company for more than five years now | have worked | Период времени, продолжающийся до настоящего момента
The team ___ (complete) the project ahead of schedule | has completed | has + причастие (team как единое целое)
We ___ (decide) to postpone the meeting until next week | have decided | Решение, влияющее на настоящее
She ___ (change) a lot since she moved to the big city | has changed | Изменение, произошедшее к настоящему моменту
They ___ (improve) their English significantly since last year | have improved | Улучшение, заметное сейчас
He ___ (not finish) reading the book yet | has not finished | Отрицательная форма: has not + причастие
I ___ (receive) three emails from them this morning | have received | Действие в период времени, который еще не закончился (утро)
The government ___ (implement) new policies to address the issue | has implemented | Действие в недавнем прошлом, результат важен
We ___ (experience) some technical difficulties with the website | have experienced | Проблема, актуальная в настоящем
She ___ (achieve) all her career goals so far | has achieved | Достижения, актуальные на данный момент
They ___ (buy) a new house in the suburbs | have bought | Действие в прошлом, результат важен (сейчас у них новый дом)
He ___ (forget) the password to his email account | has forgotten | Результат важен сейчас (не может войти)
I ___ (never try) sushi in my life | have never tried | Опыт (никогда не пробовал)
The company ___ (develop) a new strategy for growth | has developed | Действие завершено, результат используется сейчас
We ___ (meet) with the client several times this month | have met | Действие повторялось в период, который еще продолжается
She ___ (learn) to speak French fluently over the years | has learned | Навык, приобретенный к настоящему моменту
They ___ (travel) extensively throughout South America | have traveled | Опыт, имеющийся на данный момент
He ___ (write) three chapters of his new novel | has written | Действие завершено, результат есть
I ___ (just speak) to the manager about the problem | have just spoken | Действие только что завершилось
The students ___ (submit) their assignments online | have submitted | Действие завершено, результат известен
We ___ (not hear) anything from them since last Tuesday | have not heard | Отрицательная форма, период продолжается
She ___ (become) much more confident in her abilities | has become | Изменение, произошедшее к настоящему моменту
They ___ (invest) a lot of money in the stock market | have invested | Действие в прошлом, результат влияет на настоящее
He ___ (break) his leg and is now in the hospital | has broken | Действие в прошлом, результат важен сейчас (он в больнице)
I ___ (see) that play twice already | have seen | Опыт, имеющийся на данный момент
The chef ___ (create) a new menu for the restaurant | has created | Действие завершено, результат виден сейчас
We ___ (move) to a bigger office to accommodate our growth | have moved | Действие в прошлом, результат важен (мы в новом офисе)
She ___ (study) medicine for six years | has studied | Период времени, продолжающийся до настоящего момента
They ___ (not decide) where to go on vacation yet | have not decided | Отрицательная форма, решение еще не принято
He ___ (lose) his job and is currently looking for a new one | has lost | Действие в прошлом, результат важен сейчас (без работы)
I ___ (read) all the books in that series | have read | Действие завершено, опыт имеется
The team ___ (win) the championship for the second year in a row | has won | Достижение, актуальное в настоящем
We ___ (install) a new security system in the building | have installed | Действие завершено, результат есть
She ___ (never drive) a car before | has never driven | Опыт (никогда не водила)
They ___ (spend) all their savings on the new business | have spent | Действие завершено, результат (деньги потрачены)
He ___ (teach) at this university since 2015 | has taught | Период времени, продолжающийся до настоящего момента
I ___ (just realize) what the problem is | have just realized | Момент озарения, только что произошедший
The company ___ (hire) five new employees this quarter | has hired | Действие в периоде, который еще продолжается (квартал)
We ___ (not receive) the package yet | have not received | Отрицательная форма, ожидание продолжается
She ___ (grow) her own vegetables for the past few years | has grown | Действие, продолжающееся до настоящего момента
They ___ (build) a strong reputation in the industry | have built | Достижение, актуальное сейчас
He ___ (forget) to pay the electricity bill | has forgotten | Действие не совершено, результат (свет могут отключить)
I ___ (visit) the dentist twice this year | have visited | Действие повторялось в период, который еще продолжается
The researchers ___ (discover) a new species of deep-sea fish | have discovered | Недавнее открытие, результат важен
We ___ (learn) a lot from this experience | have learned | Опыт, приобретенный к настоящему моменту
She ___ (never been) in love before | has never been | Опыт (никогда не была)
They ___ (sell) their old car and bought a new one | have sold | Действие завершено, результат (машина продана)
He ___ (work) on this project for months | has worked | Длительное действие, продолжающееся до настоящего момента
I ___ (just finish) my breakfast | have just finished | Действие только что завершилось
The children ___ (make) a mess in the living room | have made | Действие в прошлом, результат виден сейчас (беспорядок)
We ___ (not see) that movie yet | have not seen | Отрицательная форма, опыт отсутствует
She ___ (change) her mind about the trip | has changed | Решение, влияющее на настоящее
They ___ (achieve) remarkable success in a short time | have achieved | Достижение, актуальное в настоящем
He ___ (lose) contact with most of his school friends | has lost | Ситуация, действующая в настоящем
I ___ (try) to call you several times this morning | have tried | Действие повторялось в период, который еще продолжается
The artist ___ (paint) over fifty portraits in his career | has painted | Опыт, накопленный к настоящему моменту
We ___ (decide) to adopt a child from overseas | have decided | Важное решение, влияющее на настоящее
She ___ (never eaten) Thai food | has never eaten | Опыт (никогда не ела)
They ___ (invest) in renewable energy sources for their factory | have invested | Действие завершено, результат используется
He ___ (write) a letter of complaint to the manager | has written | Действие завершено, результат (письмо отправлено)
I ___ (just hear) the news about the accident | have just heard | Действие только что завершилось
The team ___ (develop) a new approach to the problem | has developed | Действие завершено, результат есть
We ___ (not decide) on a name for the baby yet | have not decided | Отрицательная форма, решение еще не принято
She ___ (live) in four different countries | has lived | Опыт, имеющийся на данный момент
They ___ (complete) the construction of the new bridge | have completed | Действие завершено, результат виден
He ___ (break) the world record in the 100-meter dash | has broken | Достижение, актуальное в настоящем
I ___ (see) a significant improvement in my health | have seen | Изменение, произошедшее к настоящему моменту
The company ___ (expand) its operations to three new countries | has expanded | Действие завершено, результат действует
We ___ (experience) some problems with the new software | have experienced | Проблема, актуальная в настоящем
She ___ (learn) how to code in Python | has learned | Навык, приобретенный к настоящему моменту
They ___ (not finish) decorating the house for the party | have not finished | Отрицательная форма, действие не завершено
He ___ (lose) his passport and needs to get a new one | has lost | Действие в прошлом, результат важен сейчас (нет паспорта)
I ___ (read) all of Shakespeare's plays | have read | Действие завершено, опыт имеется
The scientists ___ (make) a groundbreaking discovery | have made | Недавнее достижение, результат важен
We ___ (move) into a new apartment recently | have moved | Действие в недавнем прошлом, результат важен (живем в новой квартире)
She ___ (never flown) in an airplane | has never flown | Опыт (никогда не летала)
They ___ (save) enough money to buy a house | have saved | Действие завершено, цель достигнута
He ___ (work) as a freelance journalist for many years | has worked | Период времени, продолжающийся до настоящего момента
I ___ (just spoken) to the doctor, and he gave me the results | have just spoken | Действие только что завершилось
The team ___ (achieve) all its objectives for this year | has achieved | Достижение, актуальное в настоящем
We ___ (not receive) any complaints from customers so far | have not received | Отрицательная форма, период продолжается
She ___ (change) her hairstyle completely | has changed | Изменение, заметное сейчас
They ___ (build) a successful business from scratch | have built | Достижение, актуальное в настоящем
He ___ (forget) the combination to the safe | has forgotten | Действие в прошлом, результат важен сейчас (не может открыть)
I ___ (visit) the new art exhibition downtown | have visited | Опыт, имеющийся на данный момент
The company ___ (introduce) a new flexible working policy | has introduced | Действие завершено, политика действует сейчас
We ___ (learn) to appreciate the simple things in life | have learned | Изменение в мировоззрении, произошедшее к настоящему моменту
She ___ (never ridden) a horse | has never ridden | Опыт (никогда не каталась)
They ___ (sell) all the tickets for the concert | have sold | Действие завершено, результат (билетов нет)
He ___ (live) abroad for most of his adult life | has lived | Опыт, накопленный к настоящему моменту
I ___ (just finished) writing my thesis | have just finished | Действие только что завершилось
The researchers ___ (publish) their findings in a prestigious journal | have published | Действие завершено, результат есть
We ___ (not choose) a destination for our honeymoon yet | have not chosen | Отрицательная форма, решение еще не принято
She ___ (travel) to every continent except Antarctica | has traveled | Опыт, имеющийся на данный момент
They ___ (create) a beautiful garden in their backyard | have created | Действие завершено, результат виден
He ___ (break) his promise to quit smoking | has broken | Действие в прошлом, результат важен (не сдержал слово)
I ___ (see) a dramatic change in his attitude recently | have seen | Изменение, произошедшее в недавнем прошлом
The government ___ (announce) a new economic relief package | has announced | Недавнее действие, результат важен
We ___ (experience) an unusually cold winter this year | have experienced | Действие в периоде, который еще продолжается (зима)
She ___ (master) the art of negotiation | has mastered | Навык, приобретенный к настоящему моменту
They ___ (not resolve) the conflict between them | have not resolved | Отрицательная форма, проблема продолжается
He ___ (lose) all hope of finding a solution | has lost | Состояние, действующее в настоящем
I ___ (read) that book three times, and I still love it | have read | Опыт, повторявшийся несколько раз
The team ___ (overcome) many obstacles to reach their goal | have overcome | Достижение, актуальное в настоящем
We ___ (decide) to renovate the entire house | have decided | Решение, влияющее на настоящее
She ___ (never been) so happy in her life | has never been | Опыт сравнения (никогда не была счастливее)
They ___ (invest) in a startup company that became very successful | have invested | Действие в прошлом, результат выгоден сейчас
He ___ (write) a bestselling novel that was translated into 30 languages | has written | Достижение, актуальное в настоящем
I ___ (just seen) your brother at the supermarket | have just seen | Действие только что завершилось
The company ___ (develop) a revolutionary new battery technology | has developed | Действие завершено, технология существует
We ___ (not find) a solution to this mathematical problem yet | have not found | Отрицательная форма, поиск продолжается
She ___ (live) through some very difficult times | has lived | Опыт, имеющийся на данный момент
They ___ (build) a strong friendship over the years | have built | Отношения, развившиеся к настоящему моменту
He ___ (forget) how to speak his native language fluently | has forgotten | Навык, утраченный к настоящему моменту
I ___ (visit) most of the European capitals | have visited | Опыт, имеющийся на данный момент
The scientists ___ (identify) the gene responsible for the disease | have identified | Важное открытие, результат важен
We ___ (move) beyond our initial disagreements | have moved | Прогресс, достигнутый к настоящему моменту
She ___ (never encountered) such rudeness before | has never encountered | Опыт (никогда не сталкивалась)
They ___ (achieve) everything they set out to do | have achieved | Достижение, актуальное в настоящем
He ___ (work) tirelessly to support his family | has worked | Длительное действие, продолжающееся до настоящего момента

### Gerund and Infinitive
I enjoy ___ (walk) in the park during autumn when leaves change color | walking | После enjoy используется gerund
She promised ___ (help) me with my research paper next weekend | to help | После promise используется infinitive
They avoid ___ (eat) fast food because of health concerns | eating | После avoid используется gerund
He decided ___ (study) abroad to experience different cultures | to study | После decide используется infinitive
We finished ___ (prepare) the presentation just before the meeting started | preparing | После finish используется gerund
I hope ___ (visit) Japan during cherry blossom season next year | to visit | После hope используется infinitive
She admitted ___ (make) a mistake in the financial calculations | making | После admit используется gerund
They can't afford ___ (buy) a house in this expensive neighborhood | to buy | После afford используется infinitive
He suggested ___ (go) hiking in the mountains this weekend | going | После suggest используется gerund
We agreed ___ (meet) at the new café downtown tomorrow | to meet | После agree используется infinitive
I miss ___ (spend) summers at my grandparents' countryside house | spending | После miss используется gerund
She plans ___ (start) her own business after graduation | to start | После plan используется infinitive
They practice ___ (speak) English every day to improve fluency | speaking | После practice используется gerund
He offered ___ (drive) us to the airport early in the morning | to drive | После offer используется infinitive
We considered ___ (move) to a warmer climate for health reasons | moving | После consider используется gerund
I want ___ (learn) how to play the piano before I turn thirty | to learn | После want используется infinitive
She quit ___ (smoke) three years ago and feels much healthier now | smoking | После quit используется gerund
They deserve ___ (get) a promotion for their hard work | to get | После deserve используется infinitive
He delayed ___ (submit) the application until he had more experience | submitting | После delay используется gerund
We managed ___ (solve) the complex problem before the deadline | to solve | После manage используется infinitive
I recommend ___ (read) that novel if you enjoy historical fiction | reading | После recommend используется gerund
She threatened ___ (resign) if working conditions didn't improve | to resign | После threaten используется infinitive
They appreciate ___ (receive) feedback on their performance | receiving | После appreciate используется gerund
He chose ___ (specialize) in marine biology rather than genetics | to specialize | После choose используется infinitive
We discussed ___ (renovate) the old building to preserve its history | renovating | После discuss используется gerund
I expect ___ (complete) the project by the end of this month | to complete | После expect используется infinitive
She mentioned ___ (see) your exhibition at the art gallery last week | seeing | После mention используется gerund
They intend ___ (expand) their business into European markets | to expand | После intend используется infinitive
He recalled ___ (visit) this place with his family as a child | visiting | После recall используется gerund
We prepared ___ (present) our findings at the international conference | to present | После prepare используется infinitive
I dislike ___ (wait) in long queues at government offices | waiting | После dislike используется gerund
She attempted ___ (explain) the complicated theory to her students | to explain | После attempt используется infinitive
They risked ___ (lose) everything by investing in that startup | losing | После risk используется gerund
He learned ___ (speak) French while living in Paris for two years | to speak | После learn используется infinitive
We appreciated ___ (have) this opportunity to work with experts | having | После appreciate используется gerund
I need ___ (finish) this report before the meeting starts | to finish | После need используется infinitive
She denied ___ (know) anything about the missing documents | knowing | После deny используется gerund
They hesitated ___ (ask) difficult questions during the interview | to ask | После hesitate используется infinitive
He mentioned ___ (meet) the famous author at a literary festival | meeting | После mention используется gerund
We decided ___ (postpone) the trip until weather conditions improve | to postpone | После decide используется infinitive
I love ___ (watch) the sunset over the ocean from this cliff | watching | После love используется gerund
She offered ___ (teach) me how to play chess on weekends | to teach | После offer используется infinitive
They avoided ___ (discuss) sensitive topics during the negotiation | discussing | После avoid используется gerund
He pretended ___ (understand) the complicated instructions | to understand | После pretend используется infinitive
We enjoyed ___ (listen) to classical music while working | listening | После enjoy используется gerund
I asked ___ (speak) with the manager about the service quality | to speak | После ask используется infinitive
She remembered ___ (lock) the door before leaving the house | locking | После remember + gerund = предшествующее действие
They forgot ___ (bring) the important documents to the meeting | to bring | После forget + infinitive = незавершенное действие
He stopped ___ (smoke) when he learned about health risks | smoking | После stop + gerund = прекратить действие
We continued ___ (work) despite the difficult circumstances | working | После continue используется gerund
I began ___ (study) Chinese when I was in university | studying/to study | После begin можно и gerund и infinitive
She prefers ___ (travel) by train rather than by plane | traveling | После prefer используется gerund
They hate ___ (wake) up early on cold winter mornings | waking | После hate используется gerund
He deserves ___ (be) recognized for his charitable work | to be | После deserve используется infinitive
We started ___ (learn) about artificial intelligence last year | learning/to learn | После start можно и gerund и infinitive
I like ___ (read) scientific journals to stay updated | reading | После like используется gerund
She attempted ___ (solve) the mathematical problem for hours | to solve | После attempt используется infinitive
They admitted ___ (make) errors in the initial calculations | making | После admit используется gerund
He offered ___ (help) with the community clean-up project | to help | После offer используется infinitive
We finished ___ (compile) the data analysis this morning | compiling | После finish используется gerund
I hope ___ (achieve) my career goals within five years | to achieve | После hope используется infinitive
She avoided ___ (answer) direct questions about the incident | answering | После avoid используется gerund
They decided ___ (invest) in renewable energy sources | to invest | После decide используется infinitive
He recommended ___ (visit) the new museum exhibition | visiting | После recommend используется gerund
We planned ___ (celebrate) our anniversary at the seaside | to celebrate | После plan используется infinitive
I enjoy ___ (cook) traditional dishes from different countries | cooking | После enjoy используется gerund
She promised ___ (return) the books to the library tomorrow | to return | После promise используется infinitive
They practice ___ (play) musical instruments every evening | playing | После practice используется gerund
He refused ___ (participate) in the controversial study | to participate | После refuse используется infinitive
We considered ___ (adopt) a pet from the animal shelter | adopting | После consider используется gerund
I want ___ (improve) my public speaking skills this year | to improve | После want используется infinitive
She quit ___ (drink) coffee after experiencing health issues | drinking | После quit используется gerund
They managed ___ (complete) the project ahead of schedule | to complete | После manage используется infinitive
He delayed ___ (respond) to the job offer for two weeks | responding | После delay используется gerund
We agreed ___ (cooperate) on the environmental initiative | to cooperate | После agree используется infinitive
I miss ___ (swim) in the lake near my childhood home | swimming | После miss используется gerund
She intends ___ (pursue) a master's degree in neuroscience | to pursue | После intend используется infinitive
They appreciate ___ (receive) constructive criticism | receiving | После appreciate используется gerund
He chose ___ (volunteer) at the local hospital on weekends | to volunteer | После choose используется infinitive
We discussed ___ (implement) new safety protocols | implementing | После discuss используется gerund
I expect ___ (hear) back from the university soon | to hear | После expect используется infinitive
She mentioned ___ (attend) the conference on climate change | attending | После mention используется gerund
They threatened ___ (cancel) the contract due to delays | to cancel | После threaten используется infinitive
He recalled ___ (study) at this university twenty years ago | studying | После recall используется gerund
We prepared ___ (launch) the new product next month | to launch | После prepare используется infinitive
I dislike ___ (commute) during rush hour traffic | commuting | После dislike используется gerund
She attempted ___ (break) the world record in swimming | to break | После attempt используется infinitive
They risked ___ (invest) their savings in the stock market | investing | После risk используется gerund
He learned ___ (program) computers during his teenage years | to program | После learn используется infinitive
We appreciated ___ (have) flexible working hours | having | После appreciate используется gerund
I need ___ (consult) with experts before making decisions | to consult | После need используется infinitive
She denied ___ (receive) the important email message | receiving | После deny используется gerund
They hesitated ___ (express) their true opinions publicly | to express | После hesitate используется infinitive
He mentioned ___ (read) the latest research on the topic | reading | После mention используется gerund
We decided ___ (expand) our operations to Asian markets | to expand | После decide используется infinitive
I love ___ (explore) ancient ruins during my travels | exploring | После love используется gerund
She offered ___ (mentor) young professionals in our industry | to mentor | После offer используется infinitive
They avoided ___ (confront) the issue directly | confronting | После avoid используется gerund
He pretended ___ (enjoy) the modern art exhibition | to enjoy | После pretend используется infinitive
We enjoyed ___ (participate) in the cultural festival | participating | После enjoy используется gerund
I asked ___ (transfer) to the department with more challenges | to transfer | После ask используется infinitive
She remembered ___ (meet) the famous scientist at a conference | meeting | После remember + gerund = предшествующее действие
They forgot ___ (submit) the application before the deadline | to submit | После forget + infinitive = незавершенное действие
He stopped ___ (work) at the company after fifteen years | working | После stop + gerund = прекратить действие
We continued ___ (research) alternative energy solutions | researching | После continue используется gerund

### Conditional Sentences
